method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1Lex,73099.0,0,2,2,1,46,0.279279947281,1,137,17.401459854,1,139,961.6391155,142
1Lex,72857.0,0,2,2,2,47,0.280724048615,1,137,17.1386861314,1,139,965.135036496,143
1Lex,72769.0,0,2,2,3,57,0.279879808426,1,137,17.5401459854,1,139,980.500214684,144
1Lex,72561.5,0,2,2,4,45,0.279515981674,1,137,16.9343065693,1,139,975.841240876,145
1Lex,72851.5,0,2,2,5,52,0.281688928604,1,137,18.598540146,1,139,999.653821383,146
1Lex,72949.5,0,2,2,6,39,0.281660079956,1,137,18.1532846715,1,139,989.39544869,147
1Lex,72766.0,0,2,2,7,57,0.282567977905,1,137,18.0875912409,1,139,995.404036067,148
1Lex,72760.0,0,2,2,8,57,0.280592918396,1,137,17.6277372263,1,139,984.67657793,149
1Lex,72808.5,0,2,2,9,38,0.279451847076,1,137,17.700729927,1,139,991.740661228,150
1Lex,72737.0,0,2,3,0,44,0.281321048737,1,137,17.3576642336,1,139,968.231429798,151
1Lex,72706.0,0,2,3,1,59,0.28216791153,1,137,17.8540145985,1,139,979.787355088,152
1Lex,72613.5,0,2,3,2,41,0.27973818779,1,137,17.3503649635,1,139,970.493988836,153
1Lex,72724.5,0,2,3,3,39,0.280416965485,1,137,17.5109489051,1,139,974.53112924,154
1Lex,72703.0,0,2,3,4,64,0.280441045761,1,137,17.496350365,1,139,978.428295406,155
1Lex,72669.0,0,2,3,5,47,0.278445005417,1,137,17.3211678832,1,139,982.80785745,156
1Lex,72752.5,0,2,3,6,48,0.280596017838,1,137,17.6496350365,1,139,983.096930013,157
1Lex,72820.5,0,2,3,7,53,0.28146982193,1,137,17.9197080292,1,139,982.912623444,158
1Lex,72666.5,0,2,3,8,45,0.28123497963,1,137,17.6496350365,1,139,990.773400601,159
1Lex,72696.0,0,2,3,9,50,0.282911062241,1,137,17.3941605839,1,139,977.034671533,160
1Lex,72763.0,0,2,4,0,46,0.282989025116,1,137,17.9562043796,1,139,984.880420781,161
1Lex,72723.5,0,2,4,1,55,0.280741214752,1,137,17.6569343066,1,139,975.535852297,162
1Lex,72739.0,0,2,4,2,50,0.282302856445,1,137,18.3795620438,1,139,998.075461571,163
1Lex,72666.0,0,2,4,3,47,0.282881975174,1,137,18.0437956204,1,139,986.071597252,164
1Lex,72576.5,0,2,4,4,58,0.27870798111,1,137,17.0510948905,1,139,968.813546587,165
1Lex,72773.5,0,2,4,5,52,0.289543867111,1,137,17.2846715328,1,139,966.234542722,166
1Lex,72713.5,0,2,4,6,51,0.280740022659,1,137,17.3868613139,1,139,971.930120223,167
1Lex,72755.0,0,2,4,7,62,0.281630039215,1,137,17.795620438,1,139,988.369686561,168
1Lex,72761.5,0,2,4,8,59,0.281560182571,1,137,17.9635036496,1,139,1000.66777587,169
1Lex,72744.0,0,2,4,9,55,0.279238939285,1,137,17.401459854,1,139,965.359703736,170
1Lex,72710.5,0,2,5,0,49,0.281199932098,1,137,17.6423357664,1,139,986.716723916,171
1Lex,72701.0,0,2,5,1,53,0.282168865204,1,137,17.4233576642,1,139,981.848862173,172
1Lex,72824.0,0,2,5,2,52,0.283158063889,1,137,18.1167883212,1,139,1000.42743667,173
1Lex,72762.0,0,2,5,3,51,0.28121304512,1,137,17.7591240876,1,139,988.493022757,174
1Lex,72882.5,0,2,5,4,50,0.279404163361,1,137,17.2554744526,1,139,987.63278231,175
1Lex,72735.5,0,2,5,5,52,0.28177189827,1,137,17.6058394161,1,139,982.711142121,176
1Lex,72780.0,0,2,5,6,60,0.282506942749,1,137,18.2700729927,1,139,986.154465436,177
1Lex,72631.0,0,2,5,7,61,0.281975984573,1,137,17.8248175182,1,139,979.248497209,178
1Lex,72803.5,0,2,5,8,56,0.283075809479,1,137,17.6934306569,1,139,962.890618291,179
1Lex,73161.5,0,2,5,9,55,0.280078887939,1,137,17.299270073,1,139,979.167131816,180
1Lex,72735.5,0,3,0,0,35,0.280642032623,1,137,17.5620437956,1,139,991.409725204,181
1Lex,72768.0,0,3,0,1,40,0.27742600441,1,137,17.503649635,1,139,974.075354229,182
