method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
3,0.0,1,2,5,1,-1,0.0877051353455,1,1,0.0,0,0,nan,1596
1,72322.5,1,2,5,2,83,0.657326936722,1,137,14.0729927007,1,139,755.509338772,1597
2,0.0,1,2,5,2,-1,0.10079407692,1,1,0.0,0,0,nan,1598
3,0.0,1,2,5,2,-1,0.0820469856262,1,1,0.0,0,0,nan,1599
1,72317.5,1,2,5,3,84,0.653748035431,1,137,12.8759124088,1,139,620.638900816,1600
2,71019.9,1,2,5,3,70,0.622596979141,1,137,16.9197080292,1,139,1133.35379991,1601
3,0.0,1,2,5,3,-1,0.0889627933502,1,1,0.0,0,0,nan,1602
1,72402.5,1,2,5,4,90,0.671816110611,1,137,13.8832116788,0,139,649.94214255,1603
2,0.0,1,2,5,4,-1,0.0866467952728,1,1,0.0,0,0,nan,1604
3,0.0,1,2,5,4,-1,0.0828580856323,1,1,0.0,0,0,nan,1605
1,72422.5,1,2,5,5,87,0.651787996292,1,137,13.3941605839,1,139,613.711142121,1606
2,0.0,1,2,5,5,-1,0.10037612915,1,1,0.0,0,0,nan,1607
3,70917.5,1,2,5,5,71,0.633442878723,1,137,17.2919708029,1,139,1147.48765565,1608
1,72434.5,1,2,5,6,94,0.678797960281,1,137,13.0729927007,0,139,556.74463289,1609
2,0.0,1,2,5,6,-1,0.0801029205322,1,1,0.0,0,0,nan,1610
3,0.0,1,2,5,6,-1,0.0807008743286,1,1,0.0,0,0,nan,1611
1,72352.5,1,2,5,7,88,0.654381036758,1,137,14.3357664234,0,139,759.504079004,1612
2,0.0,1,2,5,7,-1,0.101039886475,1,1,0.0,0,0,nan,1613
3,70932.5,1,2,5,7,75,0.656110048294,1,137,16.7591240876,1,139,1058.66949334,1614
1,72752.5,1,2,5,8,82,0.674540042877,1,137,12.5182481752,1,139,523.545620438,1615
2,0.0,1,2,5,8,-1,0.0814759731293,1,1,0.0,0,0,nan,1616
3,0.0,1,2,5,8,-1,0.087219953537,1,1,0.0,0,0,nan,1617
1,72392.5,1,2,5,9,99,0.655951976776,1,137,13.6934306569,1,139,639.625912409,1618
2,0.0,1,2,5,9,-1,0.0972850322723,1,1,0.0,0,0,nan,1619
3,0.0,1,2,5,9,-1,0.0894160270691,1,1,0.0,0,0,nan,1620
1,72415.5,1,3,0,0,90,0.652148008347,1,137,14.0,0,139,655.132352941,1621
2,0.0,1,3,0,0,-1,0.100008010864,1,1,0.0,0,0,nan,1622
