0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,41,40,54,39,8,38,7,37,24,36,5,42,25,51,50,33,35,32,55,60,59,58,57,56,31,30,10,28,29,27,26,53,11,9,12,13,14,49,1,2,6,22,47,46,45,66,44,62,61,64,63,65,15,4,16,17,43,18,19,34,20,67,52,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,12,3,2,41,5,4,13,15,16,17,6,7,11,10,67,66,26,27,28,65,64,63,62,61,60,54,53,52,51,50,49,48,47,38,37,36,35,34,24,40,39,18,19,46,20,29,45,23,59,58,57,56,55,33,32,31,30,9,1,21,44,22,43,42,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3,27,26,34,28,1,2,32,35,37,33,36,13,48,60,61,21,32,25,54,53,52,51,49,50,46,38,43,44,45,39,47,62,16,17,18,19,20,66,22,23,12,30,40,24,10,41,15,55,56,57,58,59,5,6,7,14,9,8,4,42,31,64,63,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,12,1,7,9,11,5,18,2,15,6,13,16,25,24,23,45,46,21,58,57,56,55,27,38,39,28,40,41,42,8,43,26,65,64,63,62,61,4,47,48,49,44,3,19,30,20,22,51,50,54,53,52,66,59,67,60,34,31,14,37,32,33,36,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,33,34,36,35,20,27,25,31,26,24,5,38,37,39,40,18,41,21,42,43,44,45,46,47,48,1,52,51,50,49,53,54,13,12,11,7,14,56,58,59,17,4,6,57,16,60,19,61,62,63,64,65,15,10,9,8,30,23,28,29,3,67,66,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,7,6,8,5,1,4,18,17,16,19,15,20,52,61,62,53,54,55,56,57,58,59,31,32,11,9,22,23,24,10,21,63,33,34,35,36,37,60,44,45,26,25,14,13,46,51,47,49,50,48,28,29,39,38,40,41,42,27,43,12,64,67,66,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,2,1,10,11,3,27,23,24,25,26,12,5,28,55,54,21,20,13,61,62,63,64,45,46,50,4,16,18,17,34,33,59,51,52,53,43,44,29,56,57,38,22,9,19,32,58,14,65,66,67,48,47,39,42,40,41,37,15,35,49,36,31,60,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,23,24,27,3,11,28,6,5,25,26,9,10,31,29,30,39,38,40,59,60,61,65,55,56,20,12,15,18,16,13,21,54,42,43,44,45,46,33,66,67,51,8,7,17,37,34,36,62,63,64,57,58,47,48,49,50,41,35,19,22,14,52,53,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,65,17,38,14,25,52,16,15,18,11,10,37,1,39,40,24,36,51,53,57,55,56,66,54,35,2,7,8,9,4,6,41,26,27,28,29,30,50,62,63,64,19,23,47,46,12,45,59,60,61,44,59,33,32,49,31,58,20,5,21,22,42,67,43
