method, obj, restrictions,directeds,rejects,iter,changes,totalpur, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control,Run
1-30m,72405.5,4,0,5,4,71,9,3.06398892403,1,137,12.503649635,0,139,526.325354229,1495,30m
1-30m,72192.5,2,0,0,9,69,2,3.06391382217,1,137,12.1897810219,1,139,521.846071275,730,30m
1-30m,72284,2,0,5,9,71,7,3.06370210648,1,137,13,1,139,631.941176471,780,30m
1-30m,72262,0,1,3,6,71,4,3.06310606003,1,137,12.897810219,1,139,631.754186346,97,30m
1-30m,72364.5,4,3,1,8,71,8,3.0630030632,1,137,13.503649635,1,139,638.604765994,1639,30m
1-30m,72373.5,3,0,4,4,72,7,3.0625770092,1,137,13.0145985401,1,139,638.352726492,1125,30m
1-30m,72317.5,4,1,3,6,72,8,3.06244492531,1,137,13.1313868613,0,139,633.850257621,1537,30m
1-30m,72295,1,1,5,3,69,7,3.06227612495,1,137,11.3868613139,1,139,407.738943753,474,30m
1-30m,72379,2,1,5,5,73,8,3.06223511696,1,137,11.8394160584,0,139,426.179905539,836,30m
1-30m,72331,2,3,3,9,70,8,3.06211400032,1,137,12.5255474453,0,139,544.692357235,940,30m
1-30m,72236,4,0,4,0,72,8,3.06202197075,1,137,13.1824817518,0,139,628.09145556,1481,30m
1-30m,72296,3,0,3,1,63,6,3.06183600426,1,137,12.1313868613,0,139,533.350257621,1112,30m
1-30m,72225.5,2,0,3,3,67,5,3.0613720417,1,137,12.6861313869,0,139,619.52576213,754,30m
1-30m,72276.5,2,3,4,6,67,9,3.06135702133,1,137,12.7299270073,1,139,536.727994848,947,30m
1-30m,72250.5,4,1,0,3,65,5,3.06095290184,1,137,12.6861313869,1,139,619.143409188,1504,30m
1-30m,72280.5,0,1,4,3,71,5,3.06087803841,1,137,13.0510948905,0,139,645.034134822,104,30m
1-30m,72296.5,2,1,3,7,68,6,3.06067991257,1,137,13.6423357664,1,139,737.496135681,818,30m
1-30m,72386.5,2,3,3,8,78,8,3.06028985977,0,137,13.5401459854,0,139,643.544332331,939,30m
1-30m,72365,2,1,1,3,68,4,3.05991005898,1,137,12.8175182482,0,139,542.914984972,794,30m
1-30m,72546.5,1,4,3,1,77,8,3.05983996391,1,137,13.3138686131,0,139,552.011056247,632,30m
1-30m,72285.5,2,1,4,2,70,7,3.05956101418,1,137,13.2846715328,1,139,634.896307428,823,30m
1-30m,72332.5,3,0,5,3,70,8,3.0593919754,1,137,12.3430656934,0,139,529.006440532,1134,30m
1-30m,72465.5,1,5,3,1,75,9,3.05928516388,1,137,13.6131386861,1,139,565.665414341,692,30m
1-30m,72411.5,4,1,5,7,70,10,3.05864691734,1,137,12.6861313869,1,139,536.128703306,1558,30m
1-30m,72297.5,2,2,5,2,77,9,3.05861592293,1,137,12.7737226277,0,139,631.985186775,893,30m
1-30m,72428,3,1,4,5,75,8,3.05701303482,1,137,13.1094890511,1,139,543.157041649,1186,30m
1-30m,72291.5,2,1,5,1,69,8,3.05688810349,1,137,12.7080291971,1,139,629.664126234,832,30m
1-30m,72240,2,1,1,8,70,4,3.0568780899,1,137,12.0875912409,0,139,510.506977243,799,30m
1-30m,72275.5,4,1,4,2,74,9,3.05676198006,0,137,11.8905109489,1,139,508.833512237,1543,30m
1-30m,72408.5,4,1,3,4,74,8,3.05656385422,1,137,12.6350364964,1,139,628.468763418,1535,30m
1-30m,72387.5,4,2,1,6,70,7,3.05652213097,1,137,14.299270073,1,139,776.725955346,1577,30m
1-30m,72392.5,2,1,1,1,60,4,3.0563788414,1,137,12.6496350365,0,139,517.89104766,792,30m
1-30m,72319,5,1,2,6,70,8,3.05609512329,1,137,13.2700729927,1,139,630.610347789,1887,30m
1-30m,72270.5,4,2,0,8,69,6,3.05569601059,1,137,12.7518248175,0,139,525.393838557,1569,30m
1-30m,72260.5,1,1,2,5,70,4,3.05560493469,1,137,13.8540145985,1,139,755.243237441,446,30m
1-30m,72847.5,0,5,0,8,76,5,3.05558609962,1,137,13.299270073,1,139,538.225955346,309,30m
1-30m,72397.5,2,1,3,8,70,6,3.05553483963,1,137,12.5766423358,1,139,515.39297982,819,30m
1-30m,72348.5,3,1,1,7,69,5,3.05509996414,1,137,12.8540145985,0,139,544.625590382,1158,30m
1-30m,72262.5,2,0,1,0,58,3,3.05490899086,1,137,12.496350365,1,139,535.854765994,731,30m
1-30m,72297,3,1,4,4,72,8,3.05489897728,1,137,12.8613138686,0,139,633.149742379,1185,30m
1-30m,72295,4,2,0,2,64,6,3.05473303795,1,137,14.0948905109,1,139,739.483576642,1563,30m
1-30m,72362,2,1,5,6,69,8,3.05471301079,1,137,13.299270073,0,139,638.328896522,837,30m
1-30m,72323,4,0,4,8,67,8,3.05456280708,1,137,13.3138686131,0,139,645.702232718,1489,30m
1-30m,72254,2,2,5,1,70,9,3.0544462204,1,137,13.9708029197,1,139,762.307964792,892,30m
1-30m,72304.5,4,1,5,1,73,10,3.05428385735,0,137,12.197080292,1,139,525.071167883,1552,30m
1-30m,72327,2,4,3,6,76,9,3.05397605896,1,137,12.5766423358,0,139,611.83415629,997,30m
1-30m,72203,3,1,5,1,70,9,3.05393409729,1,137,12.2408759124,1,139,544.316552168,1192,30m
1-30m,72328.5,2,4,5,9,78,11,3.05352401733,1,137,13.8905109489,1,139,730.333512237,1020,30m
1-30m,72288,2,1,1,5,70,4,3.05346703529,1,137,12.1094890511,1,139,515.524688708,796,30m
1-30m,72409.5,2,3,4,4,74,9,3.05317592621,0,137,14.0145985401,0,139,676.617432374,945,30m
1-30m,72774,1,1,3,2,71,5,3.05303311348,1,137,12.2335766423,0,139,531.915629025,453,30m
1-30m,72335,4,0,5,5,71,9,3.05270695686,1,137,13.4890510949,0,139,728.266423358,1496,30m
1-30m,72188.5,4,1,3,7,68,8,3.05256700516,0,137,12.2481751825,1,139,520.687956204,1538,30m
1-30m,72252,2,1,1,6,71,4,3.05249810219,1,137,13.299270073,1,139,642.225955346,797,30m
1-30m,72292.5,4,2,1,8,71,7,3.05225396156,1,137,13.6058394161,0,139,728.461142121,1579,30m
1-30m,72225.5,3,0,4,6,73,7,3.0516140461,1,137,12.897810219,1,139,631.548303993,1127,30m
1-30m,72464,2,3,4,1,76,9,3.05117702484,1,137,13.897810219,1,139,662.960068699,942,30m
1-30m,72197,2,0,5,7,68,7,3.05084395409,1,137,11.3430656934,1,139,499.697617003,778,30m
1-30m,72554,4,2,1,2,61,7,3.05063581467,0,137,12.0802919708,1,139,529.544976385,1573,30m
1-30m,72374.5,4,0,3,5,68,7,3.04969501495,1,137,12.4233576642,1,139,514.481215114,1476,30m
1-30m,72411.5,3,1,4,2,72,8,3.04964280128,1,137,13.6788321168,0,139,669.234328038,1183,30m
1-30m,72330,2,5,1,6,75,8,3.04963803291,0,137,13.4306569343,1,139,646.452876771,1037,30m
1-30m,72357.5,1,1,3,1,70,5,3.04935693741,1,137,13.700729927,1,139,659.490661228,452,30m
1-30m,72381,4,0,1,3,67,5,3.04929089546,0,137,13.0948905109,1,139,632.557106054,1454,30m
1-30m,72377.5,3,0,3,0,70,6,3.04918003082,1,137,12.6350364964,1,139,534.498175182,1111,30m
1-30m,72308,0,1,0,4,71,1,3.04889798164,1,137,13.3795620438,1,139,630.987226277,65,30m
1-30m,72477,2,4,0,2,72,6,3.04878997803,1,137,14.0583941606,1,139,701.305388579,963,30m
1-30m,72245,4,1,2,7,68,7,3.04869580269,0,137,12.3357664234,1,139,519.180549592,1528,30m
1-30m,72310,2,0,3,5,71,5,3.04855799675,1,137,12.4890510949,0,139,526.339952769,756,30m
1-30m,72326,4,2,1,5,71,7,3.04840493202,1,137,13.496350365,1,139,655.237118935,1576,30m
1-30m,72406.5,4,0,2,8,61,6,3.04829406738,1,137,12.9927007299,1,139,638.772005152,1469,30m
1-30m,72361.5,1,1,2,3,71,4,3.04779410362,1,137,12.5839416058,0,139,529.965328467,444,30m
1-30m,72211,4,0,1,0,68,5,3.04773402214,1,137,12.4890510949,0,139,617.369364534,1451,30m
1-30m,72416,3,0,2,3,68,5,3.0475859642,0,137,12.299270073,1,139,519.137720052,1104,30m
1-30m,72351,2,3,2,9,73,7,3.04728889465,1,137,12.5693430657,1,139,525.07052383,930,30m
1-30m,72250.5,3,0,2,7,67,5,3.04714202881,0,137,12.0875912409,1,139,518.506977243,1108,30m
