method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
3,70824.0,0,0,4,2,65,0.628227949142,1,137,15.7518248175,1,139,937.114426793,129
1,72249.5,0,0,4,3,71,0.688488006592,1,137,12.6277372263,0,139,606.92657793,130
2,70827.5,0,0,4,3,60,0.630218982697,1,137,15.3357664234,1,139,912.695255474,131
3,70821.0,0,0,4,3,68,0.661068916321,1,137,15.2700729927,1,139,926.99270073,132
1,72263.0,0,0,4,4,79,0.662338018417,1,137,13.4379562044,1,139,729.953842851,133
2,70825.0,0,0,4,4,48,0.629998922348,1,137,15.2335766423,1,139,913.033276084,134
3,70828.0,0,0,4,4,61,0.635080099106,1,137,15.6058394161,1,139,926.490553886,135
1,72300.5,0,0,4,5,80,0.681214809418,1,137,13.0875912409,1,139,625.492271361,136
2,70825.0,0,0,4,5,67,0.630255937576,1,137,16.0656934307,1,139,952.620652641,137
3,70824.0,0,0,4,5,61,0.661736011505,1,137,15.2116788321,1,139,912.491627308,138
1,72256.5,0,0,4,6,71,0.659623146057,1,137,12.9197080292,0,139,634.927329326,139
2,70822.0,0,0,4,6,60,0.631112098694,1,137,15.1751824818,1,139,911.704379562,140
3,70832.0,0,0,4,6,62,0.630958795547,1,137,15.4306569343,1,139,921.099935595,141
1,72293.0,0,0,4,7,82,0.673278808594,1,137,12.9197080292,0,139,613.780270502,142
2,70822.0,0,0,4,7,66,0.634813070297,1,137,15.2481751825,1,139,927.526191498,143
3,70823.0,0,0,4,7,62,0.656093120575,1,137,15.0729927007,1,139,913.568162301,144
1,72327.0,0,0,4,8,79,0.658562898636,1,137,12.2481751825,1,139,509.937956204,145
2,70822.0,0,0,4,8,63,0.633585929871,1,137,15.3576642336,1,139,925.657900386,146
3,70821.0,0,0,4,8,50,0.631078004837,1,137,15.5839416058,1,139,933.288857879,147
1,72235.5,0,0,4,9,77,0.677872896194,1,137,12.9124087591,1,139,640.756977243,148
2,70822.0,0,0,4,9,56,0.633753061295,1,137,15.0729927007,1,139,914.524044654,149
3,70828.0,0,0,4,9,72,0.655443906784,1,137,15.4525547445,1,139,924.86721769,150
1,72303.5,0,0,5,0,74,0.659026861191,1,137,11.6569343066,0,139,500.256440532,151
2,70819.0,0,0,5,0,68,0.627497911453,1,137,15.0729927007,1,139,914.171103478,152
3,70822.0,0,0,5,0,64,0.624402046204,1,137,15.1532846715,1,139,914.39544869,153
1,72347.0,0,0,5,1,78,0.684057950974,1,137,13.299270073,0,139,631.328896522,154
2,70829.5,0,0,5,1,79,0.629904031754,1,137,15.7737226277,1,139,930.249892658,155
3,70827.0,0,0,5,1,59,0.658512115479,1,137,15.1897810219,1,139,913.331365393,156
1,72302.0,0,0,5,2,78,0.662202119827,1,137,12.5328467153,0,139,536.08898669,157
2,70826.5,0,0,5,2,68,0.635760068893,1,137,15.3722627737,1,139,922.882460283,158
3,70832.5,0,0,5,2,64,0.636639118195,1,137,15.2846715328,1,139,911.013954487,159
1,72343.5,0,0,5,3,82,0.673027992249,1,137,14.0437956204,1,139,758.218656076,160
2,70831.0,0,0,5,3,61,0.627502918243,1,137,15.1605839416,1,139,913.915199657,161
3,70821.0,0,0,5,3,65,0.6521089077,1,137,15.1094890511,1,139,913.730571061,162
1,72273.0,0,0,5,4,73,0.656392097473,1,137,11.795620438,1,139,505.810863031,163
2,70823.0,0,0,5,4,65,0.636841058731,1,137,15.299270073,1,139,926.917131816,164
3,70822.0,0,0,5,4,63,0.635362863541,1,137,15.0948905109,1,139,916.277694289,165
1,72353.0,0,0,5,5,73,0.769078969955,1,137,12.3868613139,1,139,537.312473164,166
2,70823.0,0,0,5,5,54,0.63659787178,1,137,15.5839416058,1,139,932.906504938,167
3,70825.0,0,0,5,5,60,0.655445098877,1,137,15.0583941606,1,139,916.570094461,168
1,72330.0,0,0,5,6,75,0.659964084625,1,137,12.7810218978,0,139,626.554637183,169
2,70823.0,0,0,5,6,68,0.632759094238,1,137,14.4671532847,1,139,822.265457278,170
3,70822.0,0,0,5,6,57,0.637783050537,1,137,15.1532846715,1,139,913.866036926,171
1,72349.0,0,0,5,7,68,0.681460857391,1,137,13.1532846715,1,139,629.89544869,172
2,70825.0,0,0,5,7,69,0.634814023972,1,137,15.1532846715,1,139,915.733683985,173
3,70820.0,0,0,5,7,61,0.660670042038,1,137,15.0802919708,1,139,913.942035208,174
1,72407.5,0,0,5,8,79,0.659518003464,1,137,13.3649635036,1,139,646.704057535,175
2,70823.5,0,0,5,8,57,0.635236024857,1,137,15.299270073,1,139,913.431837699,176
3,70830.0,0,0,5,8,59,0.642916917801,1,137,15.5547445255,1,139,933.984113353,177
1,72307.5,0,0,5,9,75,0.676336050034,1,137,11.9197080292,1,139,502.26556462,178
2,70820.0,0,0,5,9,56,0.633729934692,1,137,15.2773722628,1,139,927.554851868,179
3,70822.0,0,0,5,9,63,0.658102035522,1,137,15.1605839416,1,139,913.282846715,180
1,72282.0,0,1,0,0,66,0.652252912521,1,137,14.4598540146,1,139,772.309038214,181
2,71642.0,0,1,0,0,61,0.649017095566,1,137,15.2189781022,1,139,843.716401889,182
3,70848.5,0,1,0,0,60,0.638268947601,1,137,16.0802919708,1,139,941.324388149,183
1,72330.0,0,1,0,1,68,0.674904108047,1,137,13.1678832117,1,139,635.802490339,184
2,70828.0,0,1,0,1,67,0.632987976074,1,137,15.204379562,1,139,912.531451267,185
3,70856.0,0,1,0,1,50,0.670361042023,1,137,15.7737226277,1,139,941.396951481,186
1,72347.0,0,1,0,2,80,0.655746936798,1,137,11.7737226277,1,139,512.352833834,187
2,70838.0,0,1,0,2,57,0.640332937241,1,137,15.4817518248,1,139,924.280914556,188
3,70850.0,0,1,0,2,69,0.644012928009,1,137,15.4525547445,1,139,914.705452984,189
1,72281.5,0,1,0,3,70,0.676129102707,1,137,12.7226277372,1,139,640.098969515,190
2,0.0,0,1,0,3,-1,0.0843050479889,1,1,0.0,0,0,nan,191
3,70886.0,0,1,0,3,48,0.645637989044,1,137,16.0656934307,1,139,958.370652641,192
1,72395.5,0,1,0,4,69,0.676717042923,1,137,11.6569343066,0,139,415.094675827,193
2,71681.0,0,1,0,4,74,0.631809949875,1,137,14.9854014599,1,139,844.161550021,194
3,0.0,0,1,0,4,-1,0.0851647853851,1,1,0.0,0,0,nan,195
1,72299.5,0,1,0,5,71,0.676177978516,1,137,13.8175182482,1,139,751.282632031,196
2,70844.0,0,1,0,5,64,0.641148090363,1,137,15.299270073,1,139,913.034778875,197
3,70862.0,0,1,0,5,66,0.670608043671,1,137,15.4452554745,1,139,923.028231,198
1,72136.0,0,1,0,6,76,0.657186985016,1,137,12.6496350365,1,139,621.067518248,199
2,71784.0,0,1,0,6,66,0.636504173279,1,137,15.1094890511,1,139,913.524688708,200
3,70862.0,0,1,0,6,66,0.646016836166,1,137,15.1605839416,1,139,914.576964362,201
1,72512.5,0,1,0,7,78,0.676609992981,1,137,13.9416058394,1,139,651.731859167,202
2,70849.5,0,1,0,7,60,0.631878137589,1,137,16.1897810219,1,139,1032.1548948,203
3,0.0,0,1,0,7,-1,0.0899600982666,1,1,0.0,0,0,nan,204
1,72318.5,0,1,0,8,80,0.672559022903,1,137,12.2116788321,0,139,507.168097896,205
2,0.0,0,1,0,8,-1,0.0810768604279,1,1,0.0,0,0,nan,206
3,70862.0,0,1,0,8,58,0.649147033691,1,137,15.1897810219,1,139,913.463718334,207
1,72241.0,0,1,0,9,66,0.680665969849,1,137,12.7226277372,0,139,630.81955775,208
2,70883.0,0,1,0,9,42,0.630264043808,1,137,15.6861313869,1,139,931.261056247,209
3,0.0,0,1,0,9,-1,0.0852661132812,1,1,0.0,0,0,nan,210
1,72419.0,0,1,1,0,80,0.684092998505,1,137,13.4525547445,1,139,654.764276514,211
